# Time-averaged data for fix 2
# TimeStep v_mlx v_mly v_mlz v_mpress
10100 12.2262 12.2262 12.2262 -42.6164
10200 12.222 12.222 12.222 -285.381
10300 12.2156 12.2156 12.2156 -479.591
10400 12.2132 12.2132 12.2132 291.365
10500 12.2186 12.2186 12.2186 126.744
10600 12.2204 12.2204 12.2204 109.959
10700 12.2199 12.2199 12.2199 270.665
10800 12.2206 12.2206 12.2206 620.561
10900 12.2221 12.2221 12.2221 -394.564
11000 12.2228 12.2228 12.2228 -269.15
11100 12.2202 12.2202 12.2202 -184.508
11200 12.2209 12.2209 12.2209 -68.4396
11300 12.2206 12.2206 12.2206 161.133
11400 12.2202 12.2202 12.2202 285.566
11500 12.2221 12.2221 12.2221 -18.74
11600 12.2167 12.2167 12.2167 -25.6533
11700 12.2182 12.2182 12.2182 -87.7445
11800 12.2148 12.2148 12.2148 -292.014
11900 12.2207 12.2207 12.2207 -233.099
12000 12.2244 12.2244 12.2244 282.921
12100 12.2216 12.2216 12.2216 235.43
12200 12.2193 12.2193 12.2193 133.56
12300 12.2122 12.2122 12.2122 52.3416
12400 12.216 12.216 12.216 -30.55
12500 12.2177 12.2177 12.2177 -102.646
12600 12.2211 12.2211 12.2211 -392.681
12700 12.2274 12.2274 12.2274 -55.426
12800 12.2227 12.2227 12.2227 342.981
12900 12.2246 12.2246 12.2246 125.309
13000 12.2169 12.2169 12.2169 87.6286
13100 12.2128 12.2128 12.2128 111.85
13200 12.2186 12.2186 12.2186 -27.8549
13300 12.2245 12.2245 12.2245 -398.438
13400 12.227 12.227 12.227 -155.341
13500 12.2191 12.2191 12.2191 193.422
13600 12.2193 12.2193 12.2193 28.4371
13700 12.219 12.219 12.219 60.6901
13800 12.2182 12.2182 12.2182 176.851
13900 12.2206 12.2206 12.2206 180.034
14000 12.2271 12.2271 12.2271 -234.81
14100 12.228 12.228 12.228 -297.952
14200 12.2187 12.2187 12.2187 7.62791
14300 12.216 12.216 12.216 14.3518
14400 12.2189 12.2189 12.2189 26.6278
14500 12.2216 12.2216 12.2216 139.157
14600 12.2295 12.2295 12.2295 159.33
14700 12.2308 12.2308 12.2308 -87.1251
14800 12.2226 12.2226 12.2226 -314.443
14900 12.2193 12.2193 12.2193 -231.378
15000 12.2177 12.2177 12.2177 76.1861
15100 12.2186 12.2186 12.2186 186.14
15200 12.2249 12.2249 12.2249 121.287
15300 12.2243 12.2243 12.2243 78.7378
15400 12.219 12.219 12.219 166.038
15500 12.2157 12.2157 12.2157 -242.426
15600 12.2172 12.2172 12.2172 -345.934
15700 12.2219 12.2219 12.2219 -21.8687
15800 12.2238 12.2238 12.2238 51.6979
15900 12.2236 12.2236 12.2236 133.222
16000 12.2205 12.2205 12.2205 219.647
16100 12.2184 12.2184 12.2184 334.478
16200 12.2173 12.2173 12.2173 77.5085
16300 12.2173 12.2173 12.2173 -485.547
16400 12.2188 12.2188 12.2188 -143.089
16500 12.2241 12.2241 12.2241 -36.8253
16600 12.2251 12.2251 12.2251 9.83662
16700 12.217 12.217 12.217 313.721
16800 12.2139 12.2139 12.2139 180.087
16900 12.2168 12.2168 12.2168 -65.8356
17000 12.2199 12.2199 12.2199 -234.651
17100 12.2235 12.2235 12.2235 -265.921
17200 12.2236 12.2236 12.2236 -157.523
17300 12.2193 12.2193 12.2193 122.357
17400 12.2112 12.2112 12.2112 337.504
17500 12.2127 12.2127 12.2127 101.055
17600 12.2196 12.2196 12.2196 11.0773
17700 12.2222 12.2222 12.2222 -72.6916
17800 12.2255 12.2255 12.2255 -442.486
17900 12.2194 12.2194 12.2194 -156.242
18000 12.2163 12.2163 12.2163 303.136
18100 12.2161 12.2161 12.2161 211.692
18200 12.2194 12.2194 12.2194 129.345
18300 12.2288 12.2288 12.2288 121.257
18400 12.2265 12.2265 12.2265 231.668
18500 12.2221 12.2221 12.2221 -383.305
18600 12.2177 12.2177 12.2177 -275.426
18700 12.2149 12.2149 12.2149 -41.365
18800 12.2196 12.2196 12.2196 48.2204
18900 12.2222 12.2222 12.2222 156.678
19000 12.2228 12.2228 12.2228 300.798
19100 12.2187 12.2187 12.2187 773.26
19200 12.2211 12.2211 12.2211 -477.628
19300 12.2206 12.2206 12.2206 -270.951
19400 12.2197 12.2197 12.2197 -142.099
19500 12.2198 12.2198 12.2198 -61.1391
19600 12.2249 12.2249 12.2249 64.7785
19700 12.2191 12.2191 12.2191 323.078
19800 12.2169 12.2169 12.2169 -29.9812
19900 12.2145 12.2145 12.2145 -56.4935
20000 12.2175 12.2175 12.2175 -156.533
