# Time-averaged data for fix 4
# TimeStep v_msd1 v_msd2
20100 0.0523143 0
20200 0.0481966 0
20300 0.0452479 0
20400 0.0444094 0
20500 0.046569 0
20600 0.058436 0
20700 0.0389554 0
20800 0.053119 0
20900 0.0482718 0
21000 0.0446059 0
21100 0.0434676 0
21200 0.0513592 0
21300 0.0535212 0
21400 0.0445064 0
21500 0.0470315 0
21600 0.0532942 0
21700 0.0428658 0
21800 0.0510577 0
21900 0.0501496 0
22000 0.054682 0
22100 0.0444616 0
22200 0.0487559 0
22300 0.0533562 0
22400 0.0436989 0
22500 0.0518523 0
22600 0.048515 0
22700 0.0504539 0
22800 0.043606 0
22900 0.0552795 0
23000 0.044198 0
23100 0.0472687 0
23200 0.052974 0
23300 0.0503375 0
23400 0.0542589 0
23500 0.0465111 0
23600 0.0485341 0
23700 0.0517735 0
23800 0.0475176 0
23900 0.0538758 0
24000 0.050353 0
24100 0.0502267 0
24200 0.051291 0
24300 0.0458261 0
24400 0.050097 0
24500 0.0519699 0
24600 0.0520114 0
24700 0.0511978 0
24800 0.0436845 0
24900 0.0497373 0
25000 0.0499585 0
25100 0.0529809 0
25200 0.0479996 0
25300 0.0505062 0
25400 0.0448397 0
25500 0.0515452 0
25600 0.0458018 0
25700 0.0538187 0
25800 0.0534699 0
25900 0.0458978 0
26000 0.0487646 0
26100 0.0498212 0
26200 0.0523724 0
26300 0.0500361 0
26400 0.0505157 0
26500 0.0485411 0
26600 0.0471391 0
26700 0.0484992 0
26800 0.0524635 0
26900 0.0472112 0
27000 0.053055 0
27100 0.0482719 0
27200 0.0481702 0
27300 0.0466982 0
27400 0.0489774 0
27500 0.0463691 0
27600 0.0514616 0
27700 0.0468612 0
27800 0.0463676 0
27900 0.04815 0
28000 0.0479947 0
28100 0.0520892 0
28200 0.0480292 0
28300 0.050848 0
28400 0.0443182 0
28500 0.0473744 0
28600 0.0530999 0
28700 0.0508375 0
28800 0.0472995 0
28900 0.0487076 0
29000 0.0496626 0
29100 0.0501944 0
29200 0.0537637 0
29300 0.0555664 0
29400 0.0496087 0
29500 0.0528477 0
29600 0.0514155 0
29700 0.052228 0
29800 0.0543007 0
29900 0.0536539 0
30000 0.0536257 0
