# Time-averaged data for fix 2
# TimeStep v_mlx v_mly v_mlz v_mpress
10100 12.2235 12.2235 12.2235 -4.81491
10200 12.2214 12.2214 12.2214 27.3806
10300 12.2148 12.2148 12.2148 179.67
10400 12.2167 12.2167 12.2167 159.324
10500 12.2195 12.2195 12.2195 -107.361
10600 12.2224 12.2224 12.2224 -413.76
10700 12.2288 12.2288 12.2288 -28.4239
10800 12.2295 12.2295 12.2295 62.1299
10900 12.2232 12.2232 12.2232 67.9451
11000 12.2191 12.2191 12.2191 281.033
11100 12.2169 12.2169 12.2169 339.272
11200 12.2196 12.2196 12.2196 -259.24
11300 12.2227 12.2227 12.2227 -279.994
11400 12.2246 12.2246 12.2246 -110.971
11500 12.225 12.225 12.225 2.84182
11600 12.216 12.216 12.216 78.7411
11700 12.2152 12.2152 12.2152 219.764
11800 12.2171 12.2171 12.2171 345.478
11900 12.2232 12.2232 12.2232 -158.61
12000 12.2253 12.2253 12.2253 -227.312
12100 12.2234 12.2234 12.2234 -155.474
12200 12.2163 12.2163 12.2163 -93.2144
12300 12.215 12.215 12.215 15.2547
12400 12.2153 12.2153 12.2153 197.99
12500 12.2225 12.2225 12.2225 291.869
12600 12.2242 12.2242 12.2242 -128.75
12700 12.2211 12.2211 12.2211 -145.346
12800 12.2185 12.2185 12.2185 -107.8
12900 12.22 12.22 12.22 -160.853
13000 12.2206 12.2206 12.2206 -154.433
13100 12.2184 12.2184 12.2184 233.778
13200 12.218 12.218 12.218 247.664
13300 12.2191 12.2191 12.2191 58.3409
13400 12.2204 12.2204 12.2204 -149.399
13500 12.2198 12.2198 12.2198 -75.6646
13600 12.2172 12.2172 12.2172 -58.2385
13700 12.2181 12.2181 12.2181 -104.914
13800 12.217 12.217 12.217 -81.437
13900 12.218 12.218 12.218 61.7808
14000 12.2206 12.2206 12.2206 222.356
14100 12.2233 12.2233 12.2233 311.056
14200 12.2218 12.2218 12.2218 25.0368
14300 12.2167 12.2167 12.2167 -284.934
14400 12.2146 12.2146 12.2146 -157.029
14500 12.2169 12.2169 12.2169 -83.5971
14600 12.2258 12.2258 12.2258 -140.913
14700 12.2242 12.2242 12.2242 272.776
14800 12.2138 12.2138 12.2138 189.376
14900 12.2128 12.2128 12.2128 -6.40347
15000 12.2168 12.2168 12.2168 -122.901
15100 12.2222 12.2222 12.2222 -266.565
15200 12.2251 12.2251 12.2251 -393.707
15300 12.2182 12.2182 12.2182 445.038
15400 12.2111 12.2111 12.2111 259.345
15500 12.2115 12.2115 12.2115 111.76
15600 12.2129 12.2129 12.2129 173.258
15700 12.2166 12.2166 12.2166 413.391
15800 12.2229 12.2229 12.2229 -520.232
15900 12.2208 12.2208 12.2208 -285.354
16000 12.2176 12.2176 12.2176 -47.2652
16100 12.2105 12.2105 12.2105 93.173
16200 12.2099 12.2099 12.2099 160.996
16300 12.2138 12.2138 12.2138 380.122
16400 12.2203 12.2203 12.2203 -31.4132
16500 12.2216 12.2216 12.2216 -194.129
16600 12.2186 12.2186 12.2186 -201.551
16700 12.2117 12.2117 12.2117 -209.968
16800 12.2119 12.2119 12.2119 -231.116
16900 12.2142 12.2142 12.2142 588.931
17000 12.2152 12.2152 12.2152 249.284
17100 12.2184 12.2184 12.2184 121.734
17200 12.2228 12.2228 12.2228 2.28355
17300 12.2259 12.2259 12.2259 -261.053
17400 12.2234 12.2234 12.2234 -412.983
17500 12.2136 12.2136 12.2136 228.561
17600 12.2146 12.2146 12.2146 123.47
17700 12.2183 12.2183 12.2183 101.321
17800 12.2258 12.2258 12.2258 177.976
17900 12.2241 12.2241 12.2241 305.74
18000 12.2233 12.2233 12.2233 -244.121
18100 12.2204 12.2204 12.2204 -366.925
18200 12.2187 12.2187 12.2187 -85.7029
18300 12.2228 12.2228 12.2228 73.3905
18400 12.2297 12.2297 12.2297 104.275
18500 12.226 12.226 12.226 45.4081
18600 12.2193 12.2193 12.2193 43.649
18700 12.2185 12.2185 12.2185 27.3755
18800 12.2196 12.2196 12.2196 -221.087
18900 12.2265 12.2265 12.2265 -322.17
19000 12.2274 12.2274 12.2274 93.037
19100 12.2248 12.2248 12.2248 217.561
19200 12.2202 12.2202 12.2202 64.5932
19300 12.2199 12.2199 12.2199 30.0548
19400 12.219 12.219 12.219 13.5063
19500 12.219 12.219 12.219 -67.791
19600 12.2257 12.2257 12.2257 -253.338
19700 12.2269 12.2269 12.2269 -147.014
19800 12.2221 12.2221 12.2221 113.084
19900 12.2146 12.2146 12.2146 222.129
20000 12.2143 12.2143 12.2143 104.348
