# Time-averaged data for fix 4
# TimeStep v_msd1 v_msd2
20100 0.0432983 0
20200 0.0560187 0
20300 0.0489012 0
20400 0.0467543 0
20500 0.0498779 0
20600 0.0504123 0
20700 0.0427003 0
20800 0.0465262 0
20900 0.0564042 0
21000 0.0501671 0
21100 0.0444719 0
21200 0.0504069 0
21300 0.0506377 0
21400 0.0435534 0
21500 0.0545612 0
21600 0.054976 0
21700 0.0420135 0
21800 0.0496325 0
21900 0.0488751 0
22000 0.0535106 0
22100 0.048205 0
22200 0.0476096 0
22300 0.0555888 0
22400 0.0401749 0
22500 0.0469254 0
22600 0.0565147 0
22700 0.0443166 0
22800 0.0499824 0
22900 0.0521663 0
23000 0.0466113 0
23100 0.0457158 0
23200 0.05112 0
23300 0.0582953 0
23400 0.0462923 0
23500 0.0475057 0
23600 0.0524821 0
23700 0.0475414 0
23800 0.040182 0
23900 0.0562384 0
24000 0.0508509 0
24100 0.0469836 0
24200 0.0523666 0
24300 0.0505435 0
24400 0.0428539 0
24500 0.0522474 0
24600 0.0514623 0
24700 0.0481528 0
24800 0.0472303 0
24900 0.0499772 0
25000 0.0470905 0
25100 0.0438314 0
25200 0.0501829 0
25300 0.0562078 0
25400 0.0431809 0
25500 0.0511109 0
25600 0.0484416 0
25700 0.0441734 0
25800 0.047878 0
25900 0.0518197 0
26000 0.0515681 0
26100 0.0470901 0
26200 0.0463252 0
26300 0.0510048 0
26400 0.0467662 0
26500 0.0524968 0
26600 0.0493824 0
26700 0.0482099 0
26800 0.0486328 0
26900 0.0507675 0
27000 0.0498639 0
27100 0.049677 0
27200 0.0543985 0
27300 0.0530232 0
27400 0.0522129 0
27500 0.0476064 0
27600 0.0518165 0
27700 0.0492006 0
27800 0.0512183 0
27900 0.0526973 0
28000 0.0499766 0
28100 0.0469287 0
28200 0.0494749 0
28300 0.0511121 0
28400 0.0474601 0
28500 0.054906 0
28600 0.0517671 0
28700 0.0474662 0
28800 0.0497649 0
28900 0.0458997 0
29000 0.0543123 0
29100 0.0495172 0
29200 0.0578909 0
29300 0.0502021 0
29400 0.047415 0
29500 0.0482141 0
29600 0.0481423 0
29700 0.0523 0
29800 0.0520396 0
29900 0.0490071 0
30000 0.0496328 0
